Dimension,Covariate,Scanner_F,Scanner_p,Scanner_Partial_Eta_Sq,Covariate_F,Covariate_p,Covariate_Partial_Eta_Sq,Model_R_squared,Model_Adj_R_squared,N_observations,Scanner_Survives_Bonferroni
latent_75,SBR_PC2,4.749910819390072,3.8138008994347135e-09,0.02936577087015412,23.259194299811053,1.5061073128958656e-06,0.009779924053508747,0.04094097656308804,0.03442507661617056,2372,True
latent_17,SBR_PC2,4.717327763923078,4.63594856153272e-09,0.02917020599554731,21.815892621458012,3.1699190288172986e-06,0.009178621149910204,0.03639975179188004,0.02985299851318368,2372,True
latent_196,SBR_PC2,4.681745512429207,5.7359248042340125e-09,0.028956549779884093,29.311415803139965,6.787931686848215e-08,0.012293451102429336,0.0446551500288479,0.038164484381485564,2372,True
latent_92,SBR_PC2,4.665901715790719,6.305721219361982e-09,0.028861384288651,12.468814742970123,0.0004217498423795014,0.0052667281889091444,0.034268590054757575,0.027707357545575517,2372,True
latent_147,SBR_PC2,4.147478640818128,1.3500451818780744e-07,0.025737161237641512,0.31328921076744043,0.5757220038804634,0.00013301381697397008,0.025793642413362905,0.019174830642073704,2372,True
latent_112,SBR_PC2,4.11184354412819,1.6619403354919305e-07,0.025521671490289694,11.10942408918107,0.0008721907908660265,0.004695228367748703,0.02928711956165453,0.02269204266695668,2372,True
latent_6,SBR_PC2,3.8706622689375747,6.712980338424669e-07,0.024060709481426426,0.873055706984815,0.3502065398982285,0.0003705869061449984,0.024454946859380544,0.017827039916599285,2372,True
latent_67,SBR_PC2,3.854547132579926,7.364163906849938e-07,0.023962935467425252,2.3647902538142347,0.1242349314606559,0.0010031499000880645,0.025717052454794165,0.019097720327098555,2372,True
latent_233,SBR_PC2,3.6858815360066264,1.9296919323740056e-06,0.02293842807328839,1.1867526666019381,0.27609702223062366,0.0005036751290019083,0.02370055428790463,0.017067521960348997,2372,True
latent_150,SBR_PC2,3.364402447794602,1.1726387081639883e-05,0.020979733634400925,10.6982230050147,0.0010878524355622551,0.004522226419659454,0.024583564055389195,0.017956530944937543,2372,True
latent_95,SBR_PC2,3.169776940929354,3.4165964430017403e-05,0.019790106482438126,4.958828901877741,0.02605200417951707,0.002101235344086555,0.021659698968955365,0.015012800957704076,2372,True
latent_185,SBR_PC2,2.969250882644886,0.00010068407038863139,0.018561385180350436,0.1332529975226276,0.7151155576946531,5.6579812353729174e-05,0.018601663838270888,0.011933989367532982,2372,True
latent_217,SBR_PC2,2.7664093522966904,0.00029309183891701446,0.017315337832976858,0.07177889984109656,0.7887875600155692,3.0478434026595865e-05,0.01731540477718352,0.010638991391380914,2372,True
latent_50,SBR_PC2,2.6581194919850573,0.0005125984954079593,0.016648821246566775,42.55873386360991,8.368190794897446e-11,0.017750861850640676,0.034512148845892154,0.027952571088581846,2372,True
latent_72,SBR_PC2,2.518824993587013,0.0010385210517768356,0.015790142597203027,7.4131991690843675,0.006522442525226275,0.0031379773748689524,0.01793171296143281,0.011259486807455255,2372,False
latent_142,SBR_PC2,2.4705125687112544,0.0013218281097764175,0.015491971079272611,0.7127179542769257,0.39862873982553837,0.0003025487568347709,0.016175387750745673,0.009491229026334591,2372,False
latent_216,SBR_PC2,2.32888982716591,0.0026492994931528848,0.014616870987378397,0.545772760373405,0.4601237240268016,0.00023169694543181602,0.01533539744565382,0.008645531780741011,2372,False
latent_51,SBR_PC2,1.5892277650651243,0.06885450489571003,0.010021032244506633,9.491263047071957,0.002088391125745544,0.004014082519738627,0.014167902043463076,0.007470104350340123,2372,False
