Feature,Coefficient,Abs_Coefficient,Rank
latent_113,0.0064941446466108875,0.0064941446466108875,185
latent_186,0.006411132461474903,0.006411132461474903,186
latent_126,0.0063106740007163875,0.0063106740007163875,187
latent_176,0.006010660557824576,0.006010660557824576,188
latent_58,0.005812194245776667,0.005812194245776667,189
latent_197,0.005716345814838031,0.005716345814838031,190
latent_63,0.005708152921173248,0.005708152921173248,191
latent_6,0.0056770477035663364,0.0056770477035663364,192
latent_19,-0.005525680351387258,0.005525680351387258,193
latent_134,0.005485156647340818,0.005485156647340818,194
latent_72,-0.005473143967503961,0.005473143967503961,195
latent_232,-0.005387755657500566,0.005387755657500566,196
latent_145,-0.005329358981071855,0.005329358981071855,197
latent_160,-0.005323299597516853,0.005323299597516853,198
latent_94,0.00523323490414361,0.00523323490414361,199
latent_128,0.0051901260437592755,0.0051901260437592755,200
latent_153,-0.005085890645893905,0.005085890645893905,201
latent_59,0.00503303076993663,0.00503303076993663,202
latent_73,-0.005018303909662593,0.005018303909662593,203
latent_78,0.004788146712414058,0.004788146712414058,204
latent_123,-0.0047664312556480026,0.0047664312556480026,205
latent_14,-0.004525107006008112,0.004525107006008112,206
latent_205,-0.0044831925308860855,0.0044831925308860855,207
latent_198,0.004185114203467338,0.004185114203467338,208
latent_190,-0.004176918762857476,0.004176918762857476,209
latent_218,-0.004110762852913085,0.004110762852913085,210
latent_203,-0.004087795122149938,0.004087795122149938,211
latent_85,-0.00393868801276378,0.00393868801276378,212
latent_104,0.003912366963361444,0.003912366963361444,213
latent_99,0.0036652938436201443,0.0036652938436201443,214
latent_233,-0.0035758877836768775,0.0035758877836768775,215
latent_214,-0.003491501672765573,0.003491501672765573,216
latent_121,-0.0034846244828561977,0.0034846244828561977,217
latent_33,-0.003443686222007255,0.003443686222007255,218
latent_149,0.0034227489836659037,0.0034227489836659037,219
latent_75,0.003358735436915704,0.003358735436915704,220
latent_119,-0.0033210530936924445,0.0033210530936924445,221
latent_173,-0.0030037348944908764,0.0030037348944908764,222
latent_83,0.002941073868136442,0.002941073868136442,223
latent_178,0.0028111503227079334,0.0028111503227079334,224
latent_216,0.002740445320056833,0.002740445320056833,225
latent_142,-0.0026250702506152904,0.0026250702506152904,226
latent_194,-0.00260505095769346,0.00260505095769346,227
latent_236,0.0024948995631719133,0.0024948995631719133,228
latent_80,-0.0024504806398190355,0.0024504806398190355,229
latent_117,0.0024244369194877536,0.0024244369194877536,230
latent_23,0.002127174739375267,0.002127174739375267,231
latent_148,0.0020732013737054084,0.0020732013737054084,232
latent_254,0.0017833739986361852,0.0017833739986361852,233
latent_51,0.001680836193396478,0.001680836193396478,234
latent_0,-0.0016762818791250975,0.0016762818791250975,235
latent_87,-0.0016686913287854432,0.0016686913287854432,236
latent_112,0.0016256180647701028,0.0016256180647701028,237
latent_184,0.00160676927564669,0.00160676927564669,238
latent_196,0.001593836626016032,0.001593836626016032,239
latent_133,-0.0015833564402699379,0.0015833564402699379,240
latent_17,0.0015800375450240468,0.0015800375450240468,241
latent_82,-0.0012289427018367764,0.0012289427018367764,242
latent_28,0.0012135152744670856,0.0012135152744670856,243
latent_115,-0.0010327990847663953,0.0010327990847663953,244
latent_230,-0.0010115478767905896,0.0010115478767905896,245
latent_222,-0.0009315159991301898,0.0009315159991301898,246
latent_224,-0.0009222806536794167,0.0009222806536794167,247
latent_30,-0.0008519238878224484,0.0008519238878224484,248
latent_174,0.0006659188767292373,0.0006659188767292373,249
latent_34,0.000554302589823135,0.000554302589823135,250
latent_162,0.0004739046574853832,0.0004739046574853832,251
latent_74,-0.0004484047484723752,0.0004484047484723752,252
latent_45,-0.0003819528058920097,0.0003819528058920097,253
latent_110,0.0002090711990208516,0.0002090711990208516,254
latent_210,-0.0001606233118283311,0.0001606233118283311,255
latent_234,-0.00011174552804276855,0.00011174552804276855,256
