Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_234,0.000942921668946711,3.125432144410813,0.043982732634689506,160
latent_173,0.0009363498780110668,3.103628703391467,0.0449513174849883,161
latent_250,0.0009124935141948928,3.0244820925496394,0.048650083087332756,162
latent_70,0.0008895222186332296,2.9482753834641895,0.05249886565137796,163
latent_202,0.0008801896791595867,2.917315913895226,0.05414814074693752,164
latent_106,0.0008765761519540135,2.9053286690205877,0.05480055672430987,165
latent_44,0.0008757518655346698,2.9025942550518287,0.05495047754114521,166
latent_97,0.0008711521873121476,2.887335777161982,0.05579462405354706,167
latent_208,0.000868052181663165,2.8770522310434834,0.056370846855758765,168
latent_223,0.0008599607542919655,2.850211107531789,0.057903049856995445,169
latent_185,0.0008357695968403881,2.7699660733653695,0.06273672833090613,170
latent_39,0.000825021422057385,2.734314307020952,0.06501182758682877,171
latent_55,0.0008090877472745637,2.6814636144549344,0.06853720434012019,172
latent_18,0.0008085577579121654,2.6797057121686265,0.06865769438822511,173
latent_181,0.0007887794819420042,2.6141052070018533,0.07330884861664283,174
latent_45,0.0007871518118091443,2.6087066729901207,0.0737053655840148,175
latent_239,0.0007688509453467327,2.5480089446015266,0.07831397795856619,176
latent_56,0.0007634270219868534,2.5300200689963073,0.07973440697154266,177
latent_255,0.0007505103942028677,2.4871818262156267,0.08322160705163352,178
latent_120,0.0007310992590845868,2.4228065085018717,0.08875099525326922,179
latent_13,0.000726508185149206,2.4075809824117185,0.09011161531163284,180
latent_115,0.0007245875743188514,2.401211640474879,0.09068697964694768,181
latent_228,0.0007223498492889534,2.393790680257489,0.09136197689058194,182
latent_131,0.0006902780127639161,2.287434605081244,0.10160678745005475,183
latent_119,0.0006786564012116997,2.248896900889983,0.10559612388025653,184
latent_21,0.0006711315125096838,2.223944562954082,0.10826231909522054,185
latent_225,0.0006686368692236402,2.2156724727394863,0.10916098415872202,186
latent_95,0.0006657361278342779,2.2060538370625062,0.11021532251046756,187
latent_54,0.0006514680518081588,2.1587428055325897,0.11555144039307057,188
latent_209,0.0006488443214752577,2.1500430137657,0.11656044011253955,189
latent_218,0.0006422880072249105,2.1283037198803103,0.11912045373870216,190
latent_100,0.0006358251358538424,2.1068745411713743,0.12169898766907264,191
latent_158,0.0006207773245153914,2.056981037317634,0.12792099379974758,192
latent_188,0.000614546907147888,2.036323499328696,0.13058934336762484,193
latent_37,0.0005878868971947817,1.947932624126859,0.142650181374681,194
