Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_58,-0.03395977343850136,-0.12661478797852313,0.09265501454002177,11.42961014428737,2.3074260718285304e-29,0.5146244825103663
latent_63,0.05009201016069141,0.10647899179405693,-0.056386981633365515,-11.506902309223383,9.974841232479252e-30,0.5111444022606711
latent_2,0.03314382969970027,0.09308398808647687,-0.059940158386776604,-11.606625176937616,3.3562741928052444e-30,0.5051378238195128
latent_212,-0.04177624751410082,-0.3097554715681494,0.2679792240540486,10.878539769415843,7.908676471963298e-27,0.5010694609108102
latent_65,0.06210011295010899,0.12482508344190393,-0.06272497049179494,-11.314675987428322,7.957979655246468e-29,0.49903622680922727
latent_10,0.1090950543054632,-0.2484247977001779,0.35751985200564107,10.807535726528709,1.647351397589701e-26,0.4986920730025619
latent_106,-0.03493354199712534,0.04010029754702847,-0.07503383954415381,-10.991450363709898,2.441091819061428e-27,0.48936553161175644
latent_90,0.245074569806812,0.39697472313516013,-0.15190015332834814,-10.822427371624643,1.4128638871666987e-26,0.48631898194589646
latent_50,-0.03770964683480926,0.28237486226779357,-0.32008450910260283,-10.785060810235606,2.07624471638624e-26,0.48165354621514134
latent_208,-0.07205667462747276,-0.1467733313320463,0.07471665670457353,11.001139298041076,2.2057786470993255e-27,0.4810752292691699
latent_246,-0.059419561681970705,-0.12806608649553344,0.06864652481356273,11.013036719946143,1.9474177510583804e-27,0.47361607676924355
latent_222,-0.9832669142808584,-0.5234394750451957,-0.4598274392356627,-10.705682145399319,4.6853179025575467e-26,0.47321983837389586
latent_197,0.015225899727901906,0.21235576075462637,-0.19712986102672447,-10.519415181434843,3.098549174429446e-25,0.4725971251712315
latent_236,0.11227545473082425,0.20069392243149464,-0.0884184677006704,-10.839576762600856,1.1835989691752286e-26,0.46485032676184507
latent_144,-0.00032936692137193425,0.07962622388491816,-0.0799555908062901,-10.458277691785906,5.7237581760393275e-25,0.46168586760182356
latent_43,-0.019899171090875342,-0.06864314282544484,0.0487439717345695,10.588238808470205,1.5470166498228421e-25,0.4602131264784811
latent_38,0.3403202994550409,0.3903717347857118,-0.05005143533067091,-10.448521589265514,6.310816587257769e-25,0.4540682256473922
latent_206,0.05120894898760559,0.09796645878696619,-0.0467575097993606,-9.827896186204146,2.6642448551189064e-22,0.44332732916500833
latent_80,0.0243123851768733,0.07018387499979716,-0.045871489822923855,-9.960280566935795,7.542064689648095e-23,0.44197709490770165
latent_56,-0.04997852735453134,-0.0961951445005338,0.04621661714600247,10.037183822277305,3.598450746103148e-23,0.4366750567933819
latent_213,-0.5621733028211853,-1.0326313086951957,0.47045800587401043,9.538084347695131,4.00503088450239e-21,0.43643322102904303
latent_191,0.04007969690418937,0.08665767998053381,-0.04657798307634444,-9.759159729358425,5.10007699239813e-22,0.42530193271323585
latent_138,-0.015900792939850136,0.07287379023795375,-0.08877458317780389,-9.506144365603168,5.375288269738007e-21,0.4218052618005543
latent_123,-0.022185369033746592,-0.08623261085617438,0.0640472418224278,9.602747433477322,2.201450435173871e-21,0.421610729093128
latent_27,-0.05924560401240462,0.2257130490233096,-0.2849586530357142,-9.060753444668265,2.967574675726446e-19,0.420937035813438
latent_88,-0.02277934347425341,-0.07930242305715303,0.05652307958289962,9.39602928015617,1.4724702129131245e-20,0.4198203352346716
latent_92,0.5118266590361036,0.5784963666685053,-0.06666970763240176,-8.863748670902241,1.6555325656614696e-18,0.41515060996625824
latent_59,0.03229389255942098,0.07969659767330961,-0.04740270511388863,-9.181947515957546,1.0134855322779737e-19,0.4141271593281911
latent_228,0.007503506191376021,-0.10595180051544484,0.11345530670682086,8.935739585424805,8.868425486663812e-19,0.40962638662417356
latent_127,-0.0026917522571525887,0.053636038217544486,-0.056327790474697076,-9.34230763867365,2.3982954166710055e-20,0.4068759196027398
latent_217,-0.053247007674076294,0.09058893964535587,-0.14383594731943217,-8.891125720500321,1.306407640035845e-18,0.40653223231908514
latent_233,0.020803275974182564,-0.18314318731192172,0.20394646328610427,8.855322820722078,1.7804802479859332e-18,0.40208613567911367
latent_186,-0.006873987322418256,-0.058342439950125446,0.05146845262770719,9.387983306688561,1.5843305261978948e-20,0.3989801349668423
latent_128,-0.008013409014094006,0.03718051828446975,-0.04519392729856375,-8.861728365254145,1.6846781433100918e-18,0.39460268325345815
latent_107,-0.19886981663167236,0.1297233202352313,-0.32859313686690367,-8.495237701780304,3.763333857700148e-17,0.3931180625352213
latent_243,-0.02289944995589237,-0.0646202130213879,0.041720763065495534,8.99092227959336,5.479135724405239e-19,0.39242433855833025
latent_26,0.058203968565594004,0.09750514872656584,-0.03930118016097183,-8.478798643184923,4.3139700766252086e-17,0.3828966631827
latent_153,-0.03730990850511976,-0.08673181495112099,0.04942190644600123,8.534064241352144,2.7232788625085017e-17,0.3774352000936671
latent_190,0.03715860277695505,0.08507371088704625,-0.047915108110091205,-8.356609119627741,1.1814537627038205e-16,0.37415558683494293
latent_145,0.023144948760905996,0.08227153127366547,-0.05912658251275948,-8.430355535883722,6.442166873855187e-17,0.3702304412471635
latent_117,0.04428149765810627,0.07615802056252668,-0.03187652290442042,-8.284268719056726,2.1317710997948974e-16,0.3683978300061724
latent_9,-0.03413180192770436,-0.0957486147085943,0.06161681278088994,8.061362741317849,1.2759402406521611e-15,0.3664842836458219
latent_149,-0.05035442950654632,-0.09118389735443541,0.040829467847889094,8.184849911297352,4.761133473124837e-16,0.36265764715663507
latent_131,0.03300284624169346,0.07249823260528468,-0.03949538636359122,-8.33767180169145,1.379471209439292e-16,0.35997457916838416
latent_168,0.011832978388756812,0.05243018267407474,-0.04059720428531793,-8.003828444140364,2.0103684597083134e-15,0.35883640034781794
latent_198,-0.039479163233021114,0.0013052860161565849,-0.0407844492491777,-8.15133369073731,6.230071677483374e-16,0.3567369595056841
latent_20,0.005049767550919618,0.06341230049688612,-0.0583625329459665,-8.075927210084396,1.1366957952620676e-15,0.35584363548489034
latent_211,0.013626249484741145,0.05763800896599643,-0.04401175948125529,-7.852427989110506,6.55686356083333e-15,0.3554048958433024
latent_146,-0.10730768138354906,-0.13869099527387901,0.03138331389032996,8.102884167269515,9.173583577586806e-16,0.3543629931766959
latent_148,-0.053195571581130786,-0.09115070383329181,0.037955132252161024,7.756552942921426,1.3715167687367175e-14,0.34248002465234634
latent_152,0.011708273547046321,0.07941480078937188,-0.06770652724232556,-7.752391662970032,1.415894122406675e-14,0.34205555354898187
latent_230,-0.006511512051305178,-0.04998622355984875,0.04347471150854357,7.731075318473303,1.6663556961125703e-14,0.34041697036662705
latent_45,0.04044110527913419,0.08077548899518683,-0.040334383716052635,-7.743216612826288,1.5187957233795244e-14,0.3395168926826289
latent_114,-0.023724488221611714,-0.13740902105462635,0.11368453283301463,7.40899101411892,1.8574903324392229e-13,0.33860148239052607
latent_69,-0.06221800238005428,-0.10396975817222419,0.04175175579216991,7.794659821046453,1.0238624118886358e-14,0.3383577216254642
latent_60,0.051856554938383516,0.10187380515950177,-0.050017250221118255,-7.69485684177217,2.1955792142862343e-14,0.3382296346000721
latent_177,0.03891643905477657,0.07282837280080072,-0.03391193374602415,-7.941433651504542,3.2805482130618835e-15,0.338106665017667
latent_85,0.007781539206021798,0.057491283464644126,-0.049709744258622325,-7.645073412636586,3.2015107282900695e-14,0.33657852312706416
latent_3,0.019315106739843324,-0.02490673141084697,0.04422183815069029,7.690214756570662,2.274386563875016e-14,0.3339796915826666
latent_98,0.02333287753915872,-0.019137054293042705,0.04246993183220142,7.481304178574124,1.0898455368196633e-13,0.32746986138262946
latent_210,-0.032029388070656674,-0.082869007832621,0.05083961976196432,7.318182935365044,3.6041275991386814e-13,0.32622293213500797
latent_30,0.020118685725634702,-0.019794046732615662,0.03991273245825036,7.494874045663591,9.855587933420264e-14,0.32571920565898616
latent_109,-0.009616254825940397,0.028001475555914587,-0.03761773038185498,-7.478834120244421,1.1099629256536995e-13,0.3256129075796636
latent_39,-1.243786383705041,-0.9072899412053381,-0.3364964424997028,-7.481702561372426,1.0866346671475295e-13,0.32326410857280624
latent_161,0.072852105074747,0.11509022821809607,-0.04223812314334907,-7.439141617186006,1.488085587587257e-13,0.3219741384276729
latent_216,-0.2768818142050409,-0.31414686846637013,0.037265054261329256,7.267495298666774,5.200854410049488e-13,0.32138216169137696
latent_162,-0.1248399817658515,-0.18877355661770465,0.06393357485185315,6.968211772063672,4.3234911519797825e-12,0.3181076370893705
latent_234,-0.003192790738024523,0.04882999398170818,-0.052022784719732706,-7.507373752091452,8.982166136372363e-14,0.3180409533690599
latent_227,-0.06450035932465259,-0.03407212003790036,-0.03042823928675223,-7.175922316030768,1.0028920604580608e-12,0.3169130046930158
latent_122,0.04081438060189714,0.07474017082610321,-0.03392579022420607,-7.119694248043503,1.4952758897962048e-12,0.30719599558940824
latent_97,-0.01795294125328474,0.016282665550355874,-0.034235606803640614,-6.898016007365665,7.021504682804537e-12,0.30519574497732427
