Dimension,BIC_1,BIC_2,Delta_BIC,Is_Bimodal,Means_k2,Weights_k2
latent_6,2728.780687401047,2765.4378825501703,-36.657195149123254,False,[-0.21620523  0.1959507 ],[0.52524316 0.47475684]
latent_187,4977.553767062355,5014.265165838654,-36.711398776298665,False,[-0.15842998  0.52563513],[0.4487715 0.5512285]
latent_229,4683.8776201111605,4720.789567817924,-36.911947706763385,False,[ 0.28631621 -0.32113064],[0.48147489 0.51852511]
latent_75,3696.2994962846446,3733.5625974664267,-37.263101181782076,False,[-0.04705989 -0.51163316],[0.50829777 0.49170223]
latent_22,3698.710070923134,3736.5031686945163,-37.793097771382236,False,[0.24494553 0.81563088],[0.46868283 0.53131717]
latent_34,4239.7693329095055,4278.078974545295,-38.309641635789376,False,[ 0.4808726  -0.08323989],[0.48932054 0.51067946]
latent_248,4128.127848792691,4166.444588859241,-38.316740066549755,False,[-0.32927741  0.17838702],[0.46704728 0.53295272]
latent_150,1151.7763495763786,1191.0019637104583,-39.225614134079706,False,[-0.24032766 -0.00728756],[0.44832163 0.55167837]
latent_142,2597.0774146371114,2637.2210982220704,-40.143683584959035,False,[0.41223261 0.05512687],[0.54023776 0.45976224]
latent_8,5708.396051250748,5748.91812502629,-40.522073775541685,False,[1.29819388 0.41253479],[0.44341345 0.55658655]
latent_192,5635.389451925947,5678.153957788553,-42.76450586260671,False,[-0.51343581  0.31380461],[0.46021914 0.53978086]
