Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_35,0.045242778878510186,7.442868524039613,2.1225222638744845e-16,96
latent_221,0.04481989076933977,7.370035007506996,3.368481440407707e-16,97
latent_181,0.04458215028210458,7.329117558050795,4.3656457264638453e-16,98
latent_86,0.044203359822586615,7.263966089598534,6.595560834290391e-16,99
latent_113,0.04396261227619269,7.222584657092391,8.570440857243683e-16,100
latent_190,0.04386636694858437,7.206047143642825,9.515830212220966e-16,101
latent_121,0.043709113978357805,7.179034053220793,1.1289030446086332e-15,102
latent_101,0.04370266443409627,7.177926332978188,1.1368397186549399e-15,103
latent_248,0.04348906370711099,7.141248483162811,1.433572435139226e-15,104
latent_46,0.043432472586021655,7.131533842278853,1.5243659110846274e-15,105
latent_28,0.0431943794510091,7.090674483300431,1.973444831794202e-15,106
latent_162,0.04287280567137094,7.035521211131657,2.7957443624658553e-15,107
latent_204,0.042611906112006215,6.9908014273977175,3.70744057735039e-15,108
latent_180,0.04222871110579045,6.925163625100859,5.608617406684522e-15,109
latent_232,0.042207191830333904,6.921479127432298,5.740410251455129e-15,110
latent_79,0.04214858863439734,6.911446016528861,6.115165240425355e-15,111
latent_151,0.042111494699513155,6.905096015040519,6.364864241716041e-15,112
latent_87,0.04174003668903718,6.84153432294028,9.499122894305283e-15,113
latent_189,0.04165587904148978,6.827140611634128,1.0400180861956811e-14,114
latent_94,0.041566864537558444,6.811918969755841,1.1445990903956744e-14,115
latent_230,0.041501235715096875,6.800698132543797,1.2283519879222839e-14,116
latent_49,0.0413005601095548,6.766397306558715,1.524211204845706e-14,117
latent_40,0.04102180287044936,6.71877406264761,2.0563238313891746e-14,118
latent_165,0.04098840896483098,6.713070861976707,2.1313722110758865e-14,119
latent_123,0.04088963058606064,6.69620325480194,2.369705415299802e-14,120
latent_145,0.04064202692180276,6.653937189579354,3.0902638360337845e-14,121
latent_249,0.04033367826103151,6.601332416653434,4.2992876773592876e-14,122
latent_161,0.04032876320161066,6.600494173398918,4.321958728533788e-14,123
latent_215,0.04010011046151079,6.561507873683398,5.5192519555168413e-14,124
latent_183,0.039853407827134375,6.519464812710848,7.183443970882874e-14,125
latent_71,0.039829976645186345,6.5154727942999076,7.36539468716224e-14,126
latent_80,0.03934884718009655,6.433544836345503,1.23022925649126e-13,127
latent_167,0.03913788766598487,6.39764798420293,1.5399469256864709e-13,128
latent_137,0.03881042966519716,6.341958972037468,2.181099067576296e-13,129
latent_44,0.03878232065482611,6.337180392896144,2.24719201352629e-13,130
