Feature,Correlation,P_Value,Abs_Correlation,Rank
latent_117,-0.05909785975127145,1.4722178877005704e-06,0.05909785975127145,124
latent_151,-0.05880284325849859,1.6604133606121208e-06,0.05880284325849859,125
latent_111,0.058307492307114114,2.0294946450679348e-06,0.058307492307114114,126
latent_95,0.05546829450707797,6.219636395053875e-06,0.05546829450707797,127
latent_198,0.05517208225195803,6.969627690538398e-06,0.05517208225195803,128
latent_10,0.0550192326438948,7.389717291040499e-06,0.0550192326438948,129
latent_37,-0.05494892977181609,7.590965098557412e-06,0.05494892977181609,130
latent_148,0.05458324064964141,8.725154672030648e-06,0.05458324064964141,131
latent_75,0.05450449739173133,8.989727760647718e-06,0.05450449739173133,132
latent_196,-0.05438942838069079,9.390175662659569e-06,0.05438942838069079,133
latent_26,-0.05417047532013,1.0199674706595498e-05,0.05417047532013,134
latent_233,-0.05404476582133318,1.0694112401140878e-05,0.05404476582133318,135
latent_52,-0.05399943715633614,1.0877947256974854e-05,0.05399943715633614,136
latent_30,0.053610684673900046,1.2583323667424352e-05,0.053610684673900046,137
latent_254,-0.05330336443235041,1.4109029067887965e-05,0.05330336443235041,138
latent_112,0.053267670517322396,1.4297257028304633e-05,0.053267670517322396,139
latent_229,0.0531189828129168,1.5107418414494176e-05,0.0531189828129168,140
latent_153,0.05296306672404295,1.6003884329858696e-05,0.05296306672404295,141
latent_11,0.051792711283146046,2.454644058575772e-05,0.051792711283146046,142
latent_204,0.0516170373256663,2.6154328397450706e-05,0.0516170373256663,143
latent_61,0.05065444855200604,3.689846726868091e-05,0.05065444855200604,144
latent_3,-0.05050495100104353,3.890369227103829e-05,0.05050495100104353,145
latent_179,-0.05044320878028888,3.976165718124976e-05,0.05044320878028888,146
latent_105,0.04810675312732145,8.916907948237058e-05,0.04810675312732145,147
latent_122,-0.04802485682835209,9.167163077880249e-05,0.04802485682835209,148
latent_232,-0.04796139153267213,9.365643372194083e-05,0.04796139153267213,149
latent_230,0.04560866875432959,0.0002035013404617031,0.04560866875432959,150
latent_82,-0.045447397864084645,0.000214344343415147,0.045447397864084645,151
latent_147,0.044863210202184325,0.00025833344117406974,0.044863210202184325,152
latent_87,0.04474706871007564,0.0002680317414563065,0.04474706871007564,153
latent_2,-0.04325950791934606,0.00042650362353257145,0.04325950791934606,154
latent_255,0.043071481326012524,0.0004518468996645181,0.043071481326012524,155
latent_49,-0.04249157642360999,0.000539136929472226,0.04249157642360999,156
